voltage	current
-1.0	-0.0009996639173929203
-0.9	-0.0009001862720366076
-0.8	-0.0007991494960802558
-0.7	-0.0006999848832396624
-0.6	-0.0005998280205532809
-0.5	-0.0004996444468267462
-0.3999999999999999	-0.0003995222459218299
-0.29999999999999993	-0.00029905622171417265
-0.19999999999999996	-0.00020081771908097372
-0.09999999999999998	-9.929451947995222e-05
0.0	9.114656512283922e-07
0.10000000000000009	9.924384612181003e-05
0.20000000000000018	0.0001998791788388458
0.30000000000000004	0.00029988262334842573
0.40000000000000013	0.000400520514366011
0.5	0.000500707101643295
0.6000000000000001	0.0005993727852791173
0.7000000000000002	0.0006996928526495362
0.8	0.0008009228248368154
0.9000000000000001	0.0008994210859554517
1.0	0.000999583324986757
